Date,Shift,Felt Temp,Temp,Weather,CC,Wind,Ground,Visibility,NV,rain,evaporation,mud
2000-01-04,Evening,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",3 hexes (-3),—,0.0,0,-0.0
2000-01-05,Night,Freezing (2),-10 C⁰,Light snow,100%,Calmˢ from S,"Very deep snow, frozen deep",0 hex (-3 ⃰),4 km,0.0,0,-0.0
2000-01-05,Morning,Freezing (2),-5 C⁰,Light snow,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",5 km,X,1.65,0,-0.0
2000-01-05,Day,Freezing (2),-5 C⁰,Light snow,75%,Light Breezeˡ from NW,"Very deep snow, frozen deep",2 km,X,1.72,0,-0.0
2000-01-05,Evening,Freezing (2),-5 C⁰,Light snow,100%,Light Breezeˡ from NW,"Very deep snow, frozen deep",0 hex (-3 ⃰),4 km,0.97,0,-0.0
2000-01-06,Night,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from N,"Very deep snow, frozen deep",0 hex (-3 ⃰),—,0.0,0,-0.0
2000-01-06,Morning,Freezing (2),-10 C⁰,Overcast,100%,Calmˡ,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-06,Day,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from S,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-06,Evening,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from S,"Very deep snow, frozen deep",0 hex (-3 ⃰),—,0.0,0,-0.0
2000-01-07,Night,Freezing (2),-10 C⁰,Scattered clouds,50%,Calmˢ from S,"Very deep snow, frozen deep",0 (-3 ⃰)  |  3 (-3),—,0.0,0,-0.0
2000-01-07,Morning,Freezing (2),-10 C⁰,Scattered clouds,50%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-07,Day,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-07,Evening,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",0 hex (-3 ⃰),—,0.0,0,-0.0
2000-01-08,Night,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from S,"Very deep snow, frozen deep",0 hex (-3 ⃰),—,0.0,0,-0.0
2000-01-08,Morning,Freezing (2),-10 C⁰,Broken clouds,75%,Calmˢ from S,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-08,Day,Freezing (2),-5 C⁰,Broken clouds,75%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-08,Evening,Freezing (2),-10 C⁰,Broken clouds,75%,Calmˢ from SW,"Very deep snow, frozen deep",3 (-3)  |  5 (-2),—,0.0,0,-0.0
2000-01-09,Night,Freezing (2),-10 C⁰,Broken clouds,75%,Calmˢ from SW,"Very deep snow, frozen deep",3 (-3)  |  5 (-2),—,0.0,0,-0.0
2000-01-09,Morning,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-09,Day,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-09,Evening,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",3 hexes (-3),—,0.0,0,-0.0
2000-01-10,Night,Freezing (2),-10 C⁰,Light snow,100%,Calmˢ from NW,"Very deep snow, frozen deep",0 hex (-3 ⃰),3 km,0.0,0,-0.0
2000-01-10,Morning,Freezing (2),-10 C⁰,Broken clouds,75%,Calmˢ from NW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-10,Day,Freezing (2),-10 C⁰,Broken clouds,75%,Calmˢ from NW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-10,Evening,Freezing (2),-10 C⁰,Broken clouds,75%,Calmˢ from NW,"Very deep snow, frozen deep",3 (-3)  |  5 (-2),—,0.0,0,-0.0
2000-01-11,Night,Freezing (2),-10 C⁰,Broken clouds,75%,Calmˢ from NW,"Very deep snow, frozen deep",3 (-3)  |  5 (-2),—,0.0,0,-0.0
2000-01-11,Morning,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-11,Day,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-11,Evening,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",3 hexes (-3),—,0.0,0,-0.0
2000-01-12,Night,Freezing (2),-10 C⁰,Broken clouds,75%,Calmˢ from SW,"Very deep snow, frozen deep",3 (-3)  |  5 (-2),—,0.0,0,-0.0
2000-01-12,Morning,Freezing (2),-10 C⁰,Passing clouds,25%,Calmˢ from S,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-12,Day,Freezing (2),-10 C⁰,Passing clouds,25%,Calmˢ from S,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-12,Evening,Freezing (2),-15 C⁰,Clear,0%,Calmˢ from S,"Very deep snow, frozen deep",5 hexes (-2),—,0.0,0,-0.0
2000-01-13,Night,Freezing (2),-15 C⁰,Clear,0%,Calmˢ from S,"Very deep snow, frozen deep",5 hexes (-2),—,0.0,0,-0.0
2000-01-13,Morning,Freezing (2),-15 C⁰,Clear,0%,Calmˢ from S,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-13,Day,Freezing (2),-10 C⁰,Passing clouds,25%,Calmˢ from S,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-13,Evening,Freezing (2),-15 C⁰,Clear,0%,Calmˢ from S,"Very deep snow, frozen deep",5 hexes (-2),—,0.0,0,-0.0
2000-01-14,Night,Freezing (2),-15 C⁰,Passing clouds,25%,Calmˢ from S,"Very deep snow, frozen deep",5 (-2)  |  3 (-3),—,0.0,0,-0.0
2000-01-14,Morning,Freezing (2),-15 C⁰,Broken clouds,75%,Calmˢ from S,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-14,Day,Freezing (2),-10 C⁰,Broken clouds,75%,Calmˢ from SE,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-14,Evening,Freezing (2),-15 C⁰,Broken clouds,75%,Calmˡ,"Very deep snow, frozen deep",5 (-2)  |  10 (-1),—,0.0,0,-0.0
2000-01-15,Night,Freezing (2),-15 C⁰,Overcast,100%,Calmˡ,"Very deep snow, frozen deep",5 hexes (-2),—,0.0,0,-0.0
2000-01-15,Morning,Freezing (2),-15 C⁰,Overcast,100%,Calmˢ from NW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-15,Day,Freezing (2),-15 C⁰,Overcast,100%,Calmˢ from NW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-15,Evening,Freezing (2),-15 C⁰,Overcast,100%,Calmˢ from NW,"Very deep snow, frozen deep",5 hexes (-2),—,0.0,0,-0.0
2000-01-16,Night,Freezing (2),-15 C⁰,Overcast,100%,Calmˢ from NW,"Very deep snow, frozen deep",5 hexes (-2),—,0.0,0,-0.0
2000-01-16,Morning,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-16,Day,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-16,Evening,Freezing (2),-10 C⁰,Overcast,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",5 hexes (-2),—,0.0,0,-0.0
2000-01-17,Night,Freezing (2),-10 C⁰,Light snow,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",3 hexes (-3),4 km,0.0,0,-0.0
2000-01-17,Morning,Freezing (2),-5 C⁰,Light snow,100%,Light Breezeˡ from NW,"Very deep snow, frozen deep",4 km,X,0.87,0,-0.0
2000-01-17,Day,Freezing (2),-5 C⁰,Light snow,75%,Light Breezeˡ from NW,"Very deep snow, frozen deep",5 km,X,0.76,0,-0.0
2000-01-17,Evening,Freezing (2),-10 C⁰,Passing clouds,25%,Light Breezeˡ from NW,"Very deep snow, frozen deep",10 (-1)  |  5 (-2),—,0.0,0,-0.0
2000-01-18,Night,Freezing (2),-10 C⁰,Scattered clouds,50%,Light Breezeˡ from NW,"Very deep snow, frozen deep",5 (-2)  |  10 (-1),—,0.0,0,-0.0
2000-01-18,Morning,Freezing (2),-10 C⁰,Overcast,100%,Light Breezeˡ from NW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-18,Day,Freezing (2),-10 C⁰,Light snow,100%,Light Breezeˡ from NW,"Very deep snow, frozen deep",4 km,X,0.0,0,-0.0
2000-01-18,Evening,Freezing (2),-10 C⁰,Broken clouds,75%,Light Breezeˡ from N,"Very deep snow, frozen deep",5 (-2)  |  10 (-1),—,0.0,0,-0.0
2000-01-19,Night,Freezing (2),-10 C⁰,Broken clouds,75%,Light Breezeˡ from N,"Very deep snow, frozen deep",5 (-2)  |  10 (-1),—,0.0,0,-0.0
2000-01-19,Morning,Freezing (2),-10 C⁰,Passing clouds,25%,Light Breezeˡ from NW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-19,Day,Freezing (2),-10 C⁰,Broken clouds,75%,Light Breezeˡ from NW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-19,Evening,Freezing (2),-10 C⁰,Scattered clouds,50%,Light Breezeˡ from NW,"Very deep snow, frozen deep",5 (-2)  |  10 (-1),—,0.0,0,-0.0
2000-01-20,Night,Freezing (2),-15 C⁰,Scattered clouds,50%,Light Breezeˡ from NW,"Very deep snow, frozen deep",5 (-2)  |  10 (-1),—,0.0,0,-0.0
2000-01-20,Morning,Freezing (2),-10 C⁰,Overcast,100%,Light Breezeˡ from NW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-20,Day,Freezing (2),-10 C⁰,Overcast,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-20,Evening,Freezing (2),-10 C⁰,Light snow,100%,Light Breezeˡ from NW,"Very deep snow, frozen deep",5 hexes (-2),3 km,0.0,0,-0.0
2000-01-21,Night,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from NW,"Very deep snow, frozen deep",10 hexes (-1),—,0.0,0,-0.0
2000-01-21,Morning,Freezing (2),-15 C⁰,Overcast,100%,Light Breezeˡ from NW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-21,Day,Freezing (2),-15 C⁰,Overcast,100%,Light Breezeˡ from N,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-21,Evening,Freezing (2),-15 C⁰,Scattered clouds,50%,Light Breezeˡ from NW,"Very deep snow, frozen deep",10 (-1)  |  15 (-1),—,0.0,0,-0.0
2000-01-22,Night,Freezing (2),-15 C⁰,Scattered clouds,50%,Calmˢ from NW,"Very deep snow, frozen deep",10 (-1)  |  15 (-1),—,0.0,0,-0.0
2000-01-22,Morning,Freezing (2),-15 C⁰,Scattered clouds,50%,Calmˢ from NW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-22,Day,Freezing (2),-15 C⁰,Broken clouds,75%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-22,Evening,Freezing (2),-20 C⁰,Scattered clouds,50%,Calmˡ,"Very deep snow, frozen deep",10 (-1)  |  15 (-1),—,0.0,0,-0.0
2000-01-23,Night,Freezing (2),-20 C⁰,Broken clouds,75%,Calmˢ from NE,"Very deep snow, frozen deep",10 (-1)  |  15 (-1),—,0.0,0,-0.0
2000-01-23,Morning,Freezing (2),-20 C⁰,Overcast,100%,Calmˡ,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-23,Day,Freezing (2),-15 C⁰,Scattered clouds,50%,Calmˢ from NW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-23,Evening,Freezing (2),-20 C⁰,Broken clouds,75%,Calmˡ,"Very deep snow, frozen deep",5 (-2)  |  10 (-1),—,0.0,0,-0.0
2000-01-24,Night,Freezing (2),-20 C⁰,Overcast,100%,Calmˡ,"Very deep snow, frozen deep",5 hexes (-2),—,0.0,0,-0.0
2000-01-24,Morning,Freezing (2),-20 C⁰,Overcast,100%,Calmˡ,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-24,Day,Freezing (2),-20 C⁰,Scattered clouds,50%,Calmˢ from NW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-24,Evening,Freezing (2),-20 C⁰,Broken clouds,75%,Calmˢ from NW,"Very deep snow, frozen deep",5 (-2)  |  10 (-1),—,0.0,0,-0.0
2000-01-25,Night,Freezing (2),-20 C⁰,Overcast,100%,Calmˢ from NW,"Very deep snow, frozen deep",5 hexes (-2),—,0.0,0,-0.0
2000-01-25,Morning,Freezing (2),-15 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-25,Day,Freezing (2),-15 C⁰,Overcast,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-25,Evening,Freezing (2),-15 C⁰,Light snow,100%,Light Breezeˡ from NW,"Very deep snow, frozen deep",3 hexes (-3),5 km,0.0,0,-0.0
2000-01-26,Night,Freezing (2),-10 C⁰,Light snow,100%,Light Breezeˡ from NW,"Very deep snow, frozen deep",3 hexes (-3),5 km,0.0,0,-0.0
2000-01-26,Morning,Freezing (2),-10 C⁰,Overcast,100%,Light Breezeˡ from NW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-26,Day,Freezing (2),-10 C⁰,Overcast,100%,Light Breezeˡ from NW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-26,Evening,Freezing (2),-10 C⁰,Overcast,100%,Light Breezeˡ from NW,"Very deep snow, frozen deep",5 hexes (-2),—,0.0,0,-0.0
2000-01-27,Night,Freezing (2),-10 C⁰,Overcast,100%,Light Breezeˡ from NW,"Very deep snow, frozen deep",5 hexes (-2),—,0.0,0,-0.0
2000-01-27,Morning,Freezing (2),-10 C⁰,Overcast,100%,Light Breezeˡ from NW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-27,Day,Freezing (2),-10 C⁰,Overcast,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",—,X,0.1,0,-0.0
2000-01-27,Evening,Freezing (2),-10 C⁰,Light snow,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",3 hexes (-3),5 km,0.0,0,-0.0
2000-01-28,Night,Freezing (2),-10 C⁰,Overcast,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",5 hexes (-2),—,0.0,0,-0.0
2000-01-28,Morning,Freezing (2),-10 C⁰,Overcast,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-28,Day,Freezing (2),-10 C⁰,Overcast,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-28,Evening,Freezing (2),-10 C⁰,Overcast,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",5 hexes (-2),—,0.0,0,-0.0
2000-01-29,Night,Freezing (2),-10 C⁰,Overcast,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",5 hexes (-2),—,0.0,0,-0.0
2000-01-29,Morning,Freezing (2),-10 C⁰,Broken clouds,75%,Light Breezeˡ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-29,Day,Freezing (2),-5 C⁰,Overcast,100%,Light Breezeˡ from S,"Very deep snow, frozen deep",—,X,0.6,0,-0.0
2000-01-29,Evening,Freezing (2),-5 C⁰,Light snow,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",0 hex (-3 ⃰),4 km,4.12,0,-0.0
2000-01-30,Night,Freezing (2),-5 C⁰,Light snow,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",0 hex (-3 ⃰),5 km,0.98,0,-0.0
2000-01-30,Morning,Freezing (2),-5 C⁰,Scattered clouds,50%,Light Breezeˡ from SW,"Very deep snow, frozen deep",—,X,1.3599999,0,-0.0
2000-01-30,Day,Freezing (2),-5 C⁰,Scattered clouds,50%,Light Breezeˡ from NW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-30,Evening,Freezing (2),-5 C⁰,Passing clouds,25%,Light Breezeˡ from NW,"Very deep snow, frozen deep",5 (-2)  |  3 (-3),—,0.0,0,-0.0
2000-01-31,Night,Freezing (2),-10 C⁰,Scattered clouds,50%,Calmˢ from SW,"Very deep snow, frozen deep",3 (-3)  |  5 (-2),—,0.0,0,-0.0
2000-01-31,Morning,Freezing (2),-5 C⁰,Overcast,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",—,X,1.78,0,-0.0
2000-01-31,Day,Freezing (2),-5 C⁰,Light snow,75%,Light Breezeˡ from NW,"Very deep snow, frozen deep",5 km,X,1.6600001,0,-0.0
2000-01-31,Evening,Freezing (2),-5 C⁰,Overcast,100%,Light Breezeˡ from NW,"Very deep snow, frozen deep",3 hexes (-3),—,0.0,0,-0.0
2000-02-01,Night,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from NW,"Very deep snow, frozen deep",3 hexes (-3),—,0.0,0,-0.0
2000-02-01,Morning,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,1.14,0,-0.0
2000-02-01,Day,Freezing (2),-5 C⁰,Light snow,100%,Calmˢ from SW,"Very deep snow, frozen deep",4 km,X,1.88,0,-0.0
2000-02-01,Evening,Freezing (2),-5 C⁰,Overcast,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",3 hexes (-3),—,0.0,0,-0.0
2000-02-02,Night,Freezing (2),-5 C⁰,Overcast,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",3 hexes (-3),—,0.0,0,-0.0
2000-02-02,Morning,Freezing (2),-5 C⁰,Light snow,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",5 km,X,3.92,0,-0.0
2000-02-02,Day,Freezing (2),-5 C⁰,Light snow,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",5 km,X,2.65,0,-0.0
2000-02-02,Evening,Freezing (2),-5 C⁰,Broken clouds,75%,Light Breezeˡ from SW,"Very deep snow, frozen deep",3 (-3)  |  5 (-2),—,0.45,0,-0.0
2000-02-03,Night,Freezing (2),-5 C⁰,Scattered clouds,50%,Light Breezeˡ from NW,"Very deep snow, frozen deep",3 (-3)  |  5 (-2),—,0.0,0,-0.0
2000-02-03,Morning,Freezing (2),-5 C⁰,Broken clouds,75%,Light Breezeˡ from NW,"Very deep snow, frozen deep",—,X,0.12,0,-0.0
2000-02-03,Day,Freezing (2),-5 C⁰,Light snow,75%,Light Breezeˡ from NW,"Very deep snow, frozen deep",5 km,X,1.37,0,-0.0
2000-02-03,Evening,Freezing (2),-10 C⁰,Scattered clouds,50%,Calmˢ from NW,"Very deep snow, frozen deep",3 (-3)  |  5 (-2),—,0.0,0,-0.0
2000-02-04,Night,Freezing (2),-10 C⁰,Clear,0%,Calmˢ from NW,"Very deep snow, frozen deep",5 hexes (-2),—,0.0,0,-0.0
2000-02-04,Morning,Freezing (2),-10 C⁰,Passing clouds,25%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-02-04,Day,Freezing (2),-10 C⁰,Overcast,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",—,X,0.35,0,-0.0
2000-02-04,Evening,Freezing (2),-10 C⁰,Light snow,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",0 hex (-3 ⃰),5 km,4.9,0,-0.0
2000-02-05,Night,Freezing (2),-5 C⁰,Light snow,100%,Light Breezeˡ from NW,"Very deep snow, frozen deep",0 hex (-3 ⃰),2 km,1.73,0,-0.0
2000-02-05,Morning,Freezing (2),-5 C⁰,Light snow,100%,Light Breezeˡ from NW,"Very deep snow, frozen deep",5 km,X,1.4,0,-0.0
2000-02-05,Day,Freezing (2),0 C⁰,Overcast,100%,Light Breezeˡ from NW,"Very deep snow, frozen deep",—,X,0.91999996,0,-0.0
2000-02-05,Evening,Freezing (2),-5 C⁰,Light snow,100%,Calmˢ from NW,"Very deep snow, frozen deep",0 hex (-3 ⃰),2 km,0.98,0,-0.0
2000-02-06,Night,Freezing (2),-5 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",0 hex (-3 ⃰),—,0.0,0,-0.0
2000-02-06,Morning,Freezing (2),-5 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-02-06,Day,Freezing (2),0 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-02-06,Evening,Freezing (2),-5 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",0 hex (-3 ⃰),—,0.0,0,-0.0
2000-02-07,Night,Freezing (2),-5 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",0 hex (-3 ⃰),—,0.0,0,-0.0
2000-02-07,Morning,Freezing (2),-5 C⁰,Broken clouds,75%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-02-07,Day,Freezing (2),0 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-02-07,Evening,Freezing (2),0 C⁰,Broken clouds,75%,Light Breezeˡ from SW,"Very deep snow, frozen deep",3 (-3)  |  5 (-2),—,0.13,0,-0.0
2000-02-08,Night,Freezing (2),-5 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",3 hexes (-3),—,0.0,0,-0.0
2000-02-08,Morning,Freezing (2),-5 C⁰,Overcast,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",—,X,1.1,0,-0.0
2000-02-08,Day,Freezing (2),-5 C⁰,Scattered clouds,50%,Light Breezeˡ from SW,"Very deep snow, frozen deep",—,X,0.87,0,-0.0
2000-02-08,Evening,Freezing (2),-5 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",3 hexes (-3),—,0.37,0,-0.0
2000-02-09,Night,Freezing (2),-5 C⁰,Light snow,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",0 hex (-3 ⃰),5 km,2.48,0,-0.0
2000-02-09,Morning,Freezing (2),-5 C⁰,Scattered clouds,50%,Light Breezeˡ from NW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-02-09,Day,Freezing (2),-5 C⁰,Scattered clouds,50%,Light Breezeˡ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-02-09,Evening,Freezing (2),-10 C⁰,Scattered clouds,50%,Calmˢ from SW,"Very deep snow, frozen deep",3 (-3)  |  5 (-2),—,0.12,0,-0.0
2000-02-10,Night,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",3 hexes (-3),—,0.0,0,-0.0
2000-02-10,Morning,Freezing (2),-5 C⁰,Broken clouds,75%,Calmˢ from NW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-02-10,Day,Freezing (2),-5 C⁰,Broken clouds,75%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-02-10,Evening,Freezing (2),-10 C⁰,Broken clouds,75%,Calmˢ from S,"Very deep snow, frozen deep",3 (-3)  |  5 (-2),—,0.0,0,-0.0
2000-02-11,Night,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from S,"Very deep snow, frozen deep",3 hexes (-3),—,0.0,0,-0.0
2000-02-11,Morning,Freezing (2),-10 C⁰,Light snow,100%,Calmˢ from SW,"Very deep snow, frozen deep",5 km,X,1.37,0,-0.0
2000-02-11,Day,Freezing (2),-5 C⁰,Broken clouds,75%,Calmˢ from NW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-02-11,Evening,Freezing (2),-10 C⁰,Passing clouds,25%,Calmˢ from SW,"Very deep snow, frozen deep",5 (-2)  |  3 (-3),—,0.0,0,-0.0
2000-02-12,Night,Freezing (2),-10 C⁰,Passing clouds,25%,Calmˢ from SW,"Very deep snow, frozen deep",5 (-2)  |  3 (-3),—,0.0,0,-0.0
2000-02-12,Morning,Freezing (2),-10 C⁰,Scattered clouds,50%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-02-12,Day,Freezing (2),-5 C⁰,Overcast,100%,Calmˢ from S,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
2000-02-12,Evening,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from S,"Very deep snow, frozen deep",3 hexes (-3),—,0.0,0,-0.0
2000-02-13,Night,Freezing (2),-10 C⁰,Scattered clouds,50%,Calmˢ from S,"Very deep snow, frozen deep",3 (-3)  |  5 (-2),—,0.0,0,-0.0
2000-02-13,Morning,Freezing (2),-5 C⁰,Broken clouds,75%,Light Breezeˡ from SW,"Very deep snow, frozen deep",—,X,0.0,0,-0.0
